ID	age	sex	n_babies	site	year	pop_size	weight
507	0	m	2	3	1982	145	-3.927622464398297
515	2	f	1	1	1982	145	NA
537	2	m	2	1	1982	145	NA
564	1	f	2	2	1982	145	6.814284984964797
566	1	f	0	2	1982	145	5.404876843440658
576	2	f	0	1	1982	145	0.3772558079232663
596	0	f	0	3	1982	145	6.477883846688909
601	0	m	2	2	1982	145	NA
631	0	m	2	3	1982	145	-5.413816965479223
632	0	f	0	3	1982	145	-1.1279808624746042
671	2	f	2	1	1982	145	6.279910046696994
676	1	f	2	1	1982	145	NA
683	1	m	1	3	1982	145	-6.495843844091925
687	0	m	1	1	1982	145	NA
701	0	f	1	2	1982	145	NA
709	1	m	2	1	1982	145	-3.166453286601444
723	1	f	0	3	1982	145	5.966968107100776
724	0	f	1	2	1982	145	1.8838975296168303
735	0	m	1	3	1982	145	-10.569521070458725
751	0	f	1	2	1982	145	0.3986840259362888
763	0	m	1	3	1982	145	-7.999510696532583
778	1	m	2	1	1982	145	-7.005398695264659
832	1	m	0	3	1982	145	-5.9697933473823515
838	0	m	0	1	1982	145	-2.8706292950652452
857	2	f	0	3	1982	145	7.2382906260878945
863	1	m	2	1	1982	145	-4.467729265996397
878	0	f	1	2	1982	145	3.193032506132667
880	0	f	0	3	1982	145	1.4831286893271831
883	1	m	0	3	1982	145	NA
7	3	m	2	3	1983	167	-8.263564834754163
10	2	f	2	1	1983	167	1.9016941407474455
20	1	f	0	3	1983	167	6.381360802071334
36	3	m	2	1	1983	167	-9.295637515958166
48	0	m	2	2	1983	167	-9.042368977310227
49	1	m	2	1	1983	167	-5.523375768534622
56	2	m	0	1	1983	167	-4.230289072424003
59	3	f	2	3	1983	167	8.204429450998306
80	1	m	2	3	1983	167	-6.7378443619056485
95	0	f	1	2	1983	167	5.195831939450607
109	2	f	0	3	1983	167	8.43652727809441
112	3	m	0	3	1983	167	-8.509990964697414
131	3	f	0	2	1983	167	8.333675158192209
140	0	m	2	3	1983	167	-6.893563055032302
145	2	m	0	2	1983	167	-5.725329075008997
150	3	m	1	3	1983	167	-11.581570863566698
170	3	f	1	2	1983	167	8.303214753065367
175	2	m	0	1	1983	167	-3.8132299068063698
200	2	f	0	1	1983	167	3.737860300719116
224	2	f	2	1	1983	167	6.806498446115508
232	0	f	1	2	1983	167	0.45890034704490895
243	3	m	0	3	1983	167	-5.6602565334082025
244	1	f	2	2	1983	167	8.959398395755084
257	0	m	2	2	1983	167	-4.841517158775703
267	1	f	2	3	1983	167	9.942890757928952
279	0	f	0	1	1983	167	2.5530911057933743
286	1	f	0	2	1983	167	-2.5377768886077923
293	0	f	0	2	1983	167	4.978560351947243
294	2	f	2	3	1983	167	0.33113963274345515
297	1	f	0	2	1983	167	4.544496592046342
309	0	f	0	2	1983	167	3.450431021464278
334	3	f	0	1	1983	167	5.725769957941649
346	2	f	1	3	1983	167	-2.9796773967831354
349	1	f	1	3	1983	167	8.082374226055746
358	0	f	1	2	1983	167	3.5421319594608223
389	1	f	1	1	1983	167	0.5221253131325436
401	0	f	2	1	1983	167	3.2330603782933047
410	0	m	1	2	1983	167	-5.600217663666918
411	1	m	0	3	1983	167	-5.562159951267931
415	1	f	1	2	1983	167	0.24011222455731127
433	1	m	0	1	1983	167	-8.237006535704568
437	2	m	2	3	1983	167	-7.317766098234084
445	3	f	2	3	1983	167	8.957486687633038
451	2	f	1	1	1983	167	0.9846042500473564
458	0	m	2	3	1983	167	-2.2465655322088027
480	2	f	0	2	1983	167	2.6141406881617577
487	2	m	0	1	1983	167	-14.308531980699245
495	1	f	0	1	1983	167	0.9789089358249549
500	0	m	1	1	1983	167	-6.595108105182995
507	1	m	0	3	1983	167	NA
515	3	f	2	1	1983	167	9.54959553279976
523	0	f	0	1	1983	167	8.103361345485188
537	3	m	1	1	1983	167	-6.68722778820007
564	2	f	0	2	1983	167	7.478500407710734
566	2	f	2	2	1983	167	3.3873637156972864
569	0	f	2	2	1983	167	5.381598103126399
576	3	f	1	1	1983	167	5.414684181931741
596	1	f	1	3	1983	167	6.589889608040877
601	1	m	0	2	1983	167	-4.449843129838196
631	1	m	1	3	1983	167	-8.24472259310256
632	1	f	0	3	1983	167	2.6500469160194395
671	3	f	1	1	1983	167	2.004321225263429
676	2	f	2	1	1983	167	7.825473932380616
689	0	f	0	1	1983	167	4.776201075344274
701	1	f	1	2	1983	167	-4.05462615235876
709	2	m	2	1	1983	167	-4.614184443067976
723	2	f	2	3	1983	167	1.4180288419044869
724	1	f	0	2	1983	167	7.184444609922188
735	1	m	2	3	1983	167	-8.06100436008512
744	0	m	1	2	1983	167	-13.048460404886027
749	0	f	1	2	1983	167	6.035718265452672
751	1	f	2	2	1983	167	5.599355279651269
763	1	m	2	3	1983	167	-12.960795510250302
764	0	f	1	2	1983	167	2.121362324312148
776	0	m	1	1	1983	167	-9.571927740311294
778	2	m	0	1	1983	167	-9.31209494029357
832	2	m	0	3	1983	167	-10.299382723162825
838	1	m	2	1	1983	167	-9.23854328173637
857	3	f	2	3	1983	167	10.137217595637551
863	2	m	0	1	1983	167	-16.50751630200741
877	0	f	0	3	1983	167	4.129176771427674
878	1	f	2	2	1983	167	7.899285221093882
880	1	f	0	3	1983	167	NA
883	2	m	1	3	1983	167	-6.344489732081675
899	0	f	2	2	1983	167	6.41746279577277
3	0	f	2	1	1984	156	-1.2583720915523995
4	0	m	1	3	1984	156	-7.972675325101702
7	4	m	2	3	1984	156	-4.640777966456882
10	3	f	0	1	1984	156	0.0028920673926129715
20	2	f	2	3	1984	156	2.8539183946324935
34	0	m	2	3	1984	156	-6.5799167180937745
48	1	m	2	2	1984	156	NA
49	2	m	2	1	1984	156	-5.151409286837983
56	3	m	2	1	1984	156	-8.896703167415394
59	4	f	2	3	1984	156	7.756534045049294
80	2	m	0	3	1984	156	-5.30520079976744
95	1	f	0	2	1984	156	4.104134693858167
109	3	f	2	3	1984	156	5.011087944972965
112	4	m	2	3	1984	156	-7.633650284595894
131	4	f	2	2	1984	156	6.122702335979004
140	1	m	0	3	1984	156	NA
145	3	m	2	2	1984	156	NA
150	4	m	1	3	1984	156	-4.209850608279091
170	4	f	2	2	1984	156	4.236050768957872
175	3	m	2	1	1984	156	-7.6577825727892845
193	0	f	0	3	1984	156	2.3230306591121708
200	3	f	1	1	1984	156	1.7301171817798218
224	3	f	1	1	1984	156	1.7972266908751424
232	1	f	1	2	1984	156	6.255765443368848
243	4	m	1	3	1984	156	-7.273726247157692
244	2	f	1	2	1984	156	12.234005681970535
257	1	m	1	2	1984	156	-7.219942076931629
267	2	f	0	3	1984	156	1.7718394403815847
279	1	f	2	1	1984	156	5.474116590602962
286	2	f	2	2	1984	156	-2.8042864747774385
293	1	f	0	2	1984	156	8.393935957157806
294	3	f	2	3	1984	156	NA
297	2	f	2	2	1984	156	1.4870941963827387
304	0	m	1	1	1984	156	NA
309	1	f	2	2	1984	156	2.6686564430711193
334	4	f	1	1	1984	156	5.700775276207118
346	3	f	1	3	1984	156	NA
349	2	f	2	3	1984	156	5.695661858352876
353	0	m	2	3	1984	156	-6.595129202770649
358	1	f	0	2	1984	156	0.7919474994355087
368	0	f	2	2	1984	156	4.251127655695784
389	2	f	0	1	1984	156	NA
401	1	f	1	1	1984	156	2.8608122444591184
410	1	m	2	2	1984	156	-7.4965645093247595
411	2	m	1	3	1984	156	-3.6127229203961173
415	2	f	1	2	1984	156	6.26337547170311
433	2	m	0	1	1984	156	-4.753477379684204
437	3	m	1	3	1984	156	-8.835908071651373
445	4	f	2	3	1984	156	NA
451	3	f	0	1	1984	156	7.34637498853864
458	1	m	0	3	1984	156	-9.710010907082287
480	3	f	1	2	1984	156	NA
487	3	m	0	1	1984	156	-5.88337753450809
495	2	f	0	1	1984	156	1.876215232401558
500	1	m	0	1	1984	156	-10.50846104725525
502	0	m	1	3	1984	156	-11.29208586113001
507	2	m	0	3	1984	156	-7.812755083535422
515	4	f	2	1	1984	156	9.002831658741274
523	1	f	0	1	1984	156	3.994858602482448
524	0	f	2	2	1984	156	5.291762201434169
537	4	m	1	1	1984	156	-9.53052705048446
546	0	m	1	3	1984	156	-7.798886284718312
566	3	f	1	2	1984	156	NA
569	1	f	1	2	1984	156	0.945842635865234
573	0	m	2	1	1984	156	-3.88610223443073
576	4	f	1	1	1984	156	6.225093352676207
591	0	f	0	3	1984	156	0.818038011243313
596	2	f	2	3	1984	156	NA
600	0	m	2	1	1984	156	-5.3222437644620895
601	2	m	2	2	1984	156	-7.496085183911634
631	2	m	2	3	1984	156	-3.455643252266838
671	4	f	1	1	1984	156	NA
676	3	f	0	1	1984	156	3.76266043904427
689	1	f	1	1	1984	156	5.836662770346308
701	2	f	1	2	1984	156	2.048995623024311
709	3	m	2	1	1984	156	-10.690069076221558
723	3	f	0	3	1984	156	3.772296190214272
724	2	f	0	2	1984	156	7.372557667567226
735	2	m	1	3	1984	156	-6.921551169596604
744	1	m	2	2	1984	156	-6.372112463465545
749	1	f	2	2	1984	156	7.927299437187451
751	2	f	1	2	1984	156	7.54032276127288
763	2	m	1	3	1984	156	-9.508347973256907
764	1	f	0	2	1984	156	5.15005283091912
776	1	m	2	1	1984	156	-11.397149249986693
778	3	m	0	1	1984	156	-9.307863783168708
782	0	m	2	2	1984	156	-11.278433669928765
826	0	m	2	3	1984	156	-4.772826519355178
832	3	m	2	3	1984	156	-8.157145747334372
838	2	m	0	1	1984	156	-6.307480462706197
851	0	f	1	2	1984	156	5.498859078679313
857	4	f	1	3	1984	156	6.942874909664241
863	3	m	2	1	1984	156	-8.57748027544814
877	1	f	2	3	1984	156	8.726658456712475
878	2	f	1	2	1984	156	3.7260538568978765
880	2	f	2	3	1984	156	6.606123792112658
883	3	m	0	3	1984	156	NA
890	0	m	0	1	1984	156	-8.38661716083863
899	1	f	0	2	1984	156	3.4925010539319423
3	1	f	0	1	1985	150	6.824707069368421
4	1	m	2	3	1985	150	-8.773059964899339
7	5	m	0	3	1985	150	-2.744214876366653
10	4	f	0	1	1985	150	3.6766296975633432
20	3	f	2	3	1985	150	4.790398314316699
34	1	m	0	3	1985	150	-6.849029318910207
48	2	m	0	2	1985	150	-6.312767204848562
49	3	m	2	1	1985	150	-2.708472038267356
56	4	m	2	1	1985	150	NA
59	5	f	1	3	1985	150	NA
67	0	f	2	1	1985	150	3.2746705165276233
73	0	m	2	2	1985	150	NA
80	3	m	1	3	1985	150	NA
95	2	f	0	2	1985	150	5.760029111867638
109	4	f	2	3	1985	150	5.779748585693228
112	5	m	2	3	1985	150	-1.3282901196814882
114	0	m	0	3	1985	150	-2.6143708815128455
122	0	f	1	2	1985	150	2.0331826103867514
131	5	f	1	2	1985	150	3.602925612366964
140	2	m	2	3	1985	150	1.0314535347373937
144	0	f	0	2	1985	150	2.148993481387395
145	4	m	1	2	1985	150	-7.616908845978592
150	5	m	0	3	1985	150	-7.847573705145474
168	0	m	2	3	1985	150	NA
170	5	f	1	2	1985	150	4.9752278284721045
175	4	m	0	1	1985	150	-8.76162520324519
186	0	m	0	2	1985	150	-9.93692064220486
187	0	m	1	1	1985	150	-4.833327072948034
193	1	f	1	3	1985	150	1.6940125084482898
200	4	f	0	1	1985	150	2.9324638917777053
224	4	f	2	1	1985	150	NA
232	2	f	2	2	1985	150	10.06251563790072
243	5	m	2	3	1985	150	-3.1944305185931685
244	3	f	1	2	1985	150	7.0574778646764145
257	2	m	1	2	1985	150	-4.100811373477017
267	3	f	2	3	1985	150	5.216531299327328
273	0	m	2	3	1985	150	NA
276	0	m	1	2	1985	150	-3.5693281480762806
279	2	f	1	1	1985	150	4.9055611166850035
286	3	f	1	2	1985	150	8.372189717375047
293	2	f	0	2	1985	150	7.695472316084529
294	4	f	0	3	1985	150	4.061981549011693
297	3	f	1	2	1985	150	3.1481909584510888
309	2	f	1	2	1985	150	6.756259396997713
334	5	f	0	1	1985	150	5.972021030826513
346	4	f	1	3	1985	150	7.477218189287582
349	3	f	0	3	1985	150	NA
353	1	m	1	3	1985	150	NA
358	2	f	1	2	1985	150	4.9385129820301374
368	1	f	2	2	1985	150	-0.5913970140912226
391	0	m	1	3	1985	150	-13.38355184291062
401	2	f	1	1	1985	150	6.288499019981007
403	0	m	0	1	1985	150	-1.773483216103045
404	0	f	2	1	1985	150	0.8141400839536203
410	2	m	1	2	1985	150	-6.714138240054097
411	3	m	1	3	1985	150	-7.735998663122386
415	3	f	1	2	1985	150	5.8347437169276635
433	3	m	0	1	1985	150	-2.522383889562772
437	4	m	0	3	1985	150	-1.450669016251743
445	5	f	2	3	1985	150	7.251468006317616
451	4	f	1	1	1985	150	10.719944378250704
458	2	m	1	3	1985	150	-5.4884396685880645
480	4	f	2	2	1985	150	7.159267161170952
487	4	m	1	1	1985	150	-3.368872908760258
495	3	f	0	1	1985	150	3.5841533646881856
500	2	m	1	1	1985	150	3.5683506221829617
502	1	m	0	3	1985	150	-3.080091948395184
507	3	m	0	3	1985	150	-7.7240934868009274
515	5	f	2	1	1985	150	5.893431803528783
517	0	f	1	2	1985	150	0.5400341192075062
523	2	f	2	1	1985	150	2.267934699698059
524	1	f	1	2	1985	150	1.1579496977203716
534	0	f	0	1	1985	150	2.947652881779897
537	5	m	2	1	1985	150	-5.16298558275311
546	1	m	1	3	1985	150	-12.574420101230132
566	4	f	0	2	1985	150	NA
569	2	f	2	2	1985	150	1.9974735965370414
573	1	m	0	1	1985	150	-3.694533992417813
576	5	f	0	1	1985	150	NA
591	1	f	2	3	1985	150	4.501000457987246
596	3	f	1	3	1985	150	3.452218111964565
598	0	f	2	2	1985	150	1.3113881747211682
600	1	m	1	1	1985	150	-9.614318856594611
601	3	m	0	2	1985	150	-3.5439367672390376
631	3	m	1	3	1985	150	-6.985470433688217
661	0	f	0	1	1985	150	3.3905149661879057
671	5	f	2	1	1985	150	8.18037330883384
676	4	f	1	1	1985	150	11.0071304220831
692	0	m	1	2	1985	150	-9.170926984396617
701	3	f	1	2	1985	150	7.612414439024309
709	4	m	2	1	1985	150	-2.439626538763817
712	0	m	2	3	1985	150	-7.035275820571008
723	4	f	0	3	1985	150	9.180642874550285
724	3	f	1	2	1985	150	6.725168876290235
735	3	m	0	3	1985	150	-4.006848514041619
744	2	m	2	2	1985	150	-9.016441187603974
749	2	f	2	2	1985	150	7.249503435907846
751	3	f	0	2	1985	150	0.8398945873371992
763	3	m	1	3	1985	150	NA
764	2	f	0	2	1985	150	NA
766	0	f	0	3	1985	150	-1.3906865607691274
776	2	m	0	1	1985	150	-5.7787044017613205
778	4	m	2	1	1985	150	-10.45430920362848
800	0	f	0	1	1985	150	0.3811357388112698
803	0	m	0	3	1985	150	-3.988666366190347
806	0	m	2	2	1985	150	-6.952865020116069
820	0	m	0	1	1985	150	-0.7836584357125869
826	1	m	0	3	1985	150	-9.898021240939443
838	3	m	1	1	1985	150	-9.914153516058269
851	1	f	1	2	1985	150	7.552264471716256
857	5	f	1	3	1985	150	5.78935485680788
863	4	m	2	1	1985	150	-5.682716598948828
875	0	m	1	1	1985	150	-8.800573529002106
877	2	f	2	3	1985	150	-0.23670450661134212
878	3	f	0	2	1985	150	6.534719420529834
880	3	f	1	3	1985	150	5.603660883501031
883	4	m	1	3	1985	150	-7.4696107703330545
886	0	f	2	1	1985	150	8.343992780845387
890	1	m	1	1	1985	150	NA
899	2	f	2	2	1985	150	NA
3	2	f	0	1	1986	133	0.9411097062690568
4	2	m	0	3	1986	133	-9.760621411636102
7	6	m	0	3	1986	133	-1.8192664632929496
34	2	m	0	3	1986	133	-3.4735213059185646
42	0	m	1	1	1986	133	-5.024819096732791
48	3	m	0	2	1986	133	-3.9126435021477035
49	4	m	1	1	1986	133	-1.679233487692096
54	0	m	0	1	1986	133	-3.825745833904759
56	5	m	2	1	1986	133	-2.051527014835123
59	6	f	1	3	1986	133	7.599985415204246
67	1	f	0	1	1986	133	0.8628966317839063
73	1	m	1	2	1986	133	-4.563401883786355
80	4	m	2	3	1986	133	-4.820055747733445
95	3	f	2	2	1986	133	6.575709733149125
103	0	f	2	3	1986	133	5.172990449056688
109	5	f	0	3	1986	133	9.554550208429601
112	6	m	1	3	1986	133	-4.490764616667907
114	1	m	2	3	1986	133	-6.968561965104271
122	1	f	0	2	1986	133	7.1503110589723775
131	6	f	0	2	1986	133	0.6642171560540375
137	0	f	2	1	1986	133	1.4028618153353052
140	3	m	1	3	1986	133	NA
144	1	f	0	2	1986	133	9.199659422514843
145	5	m	2	2	1986	133	0.14048281481265498
150	6	m	1	3	1986	133	-5.589294507406355
168	1	m	0	3	1986	133	-1.087667040509176
170	6	f	0	2	1986	133	5.863936293101065
173	0	m	0	3	1986	133	-6.123248159041885
174	0	m	2	3	1986	133	-2.2729949279433637
175	5	m	2	1	1986	133	-1.4214517291401567
186	1	m	2	2	1986	133	-8.2385365053936
187	1	m	2	1	1986	133	-2.711828075694698
193	2	f	1	3	1986	133	6.988389588593717
197	0	f	2	3	1986	133	NA
200	5	f	0	1	1986	133	2.2406483649364692
209	0	f	1	2	1986	133	0.43556833163652087
224	5	f	1	1	1986	133	6.971680839837111
227	0	f	2	1	1986	133	7.749659777925186
232	3	f	0	2	1986	133	5.29552977858896
243	6	m	0	3	1986	133	-4.529694147235342
244	4	f	1	2	1986	133	7.995250850096621
257	3	m	2	2	1986	133	-8.413120474069922
267	4	f	0	3	1986	133	6.780879996946374
273	1	m	2	3	1986	133	-4.604502779329609
279	3	f	1	1	1986	133	7.690090126144891
286	4	f	2	2	1986	133	1.0623117310756902
293	3	f	1	2	1986	133	4.619763411620276
294	5	f	1	3	1986	133	2.6836380478825497
297	4	f	2	2	1986	133	1.8187652369240281
309	3	f	0	2	1986	133	NA
334	6	f	1	1	1986	133	4.3660319315643425
346	5	f	2	3	1986	133	8.41355165772937
349	4	f	0	3	1986	133	6.876897479865454
350	0	f	0	2	1986	133	-3.3265346048514086
353	2	m	2	3	1986	133	-5.777325737786962
356	0	f	2	1	1986	133	5.4075365245483145
358	3	f	0	2	1986	133	3.4574184711978724
368	2	f	0	2	1986	133	NA
387	0	m	0	2	1986	133	-7.645619007147688
391	1	m	0	3	1986	133	-3.3905426963641823
394	0	m	0	3	1986	133	-7.511813022806531
401	3	f	0	1	1986	133	2.9397100024823057
403	1	m	2	1	1986	133	-7.1895532541888505
404	1	f	2	1	1986	133	NA
410	3	m	0	2	1986	133	-5.25486364831203
411	4	m	0	3	1986	133	-0.173844695622373
415	4	f	1	2	1986	133	4.254645256410344
425	0	f	0	2	1986	133	8.329444885248853
433	4	m	2	1	1986	133	2.181522558278183
437	5	m	1	3	1986	133	-6.251783546023429
445	6	f	1	3	1986	133	6.944650281654626
451	5	f	1	1	1986	133	NA
458	3	m	0	3	1986	133	-2.8946885719921385
480	5	f	1	2	1986	133	7.790039131223844
487	5	m	0	1	1986	133	NA
495	4	f	2	1	1986	133	2.5806722248866905
500	3	m	0	1	1986	133	-6.052652214216251
502	2	m	2	3	1986	133	-4.60472062103702
507	4	m	2	3	1986	133	-2.448127899674832
515	6	f	0	1	1986	133	11.50260451298978
517	1	f	1	2	1986	133	4.38894520827529
523	3	f	0	1	1986	133	1.6341317657139185
524	2	f	2	2	1986	133	6.256317908715825
534	1	f	2	1	1986	133	3.0736076340677845
537	6	m	0	1	1986	133	-6.955612611058611
546	2	m	0	3	1986	133	-9.03441398857765
549	0	m	1	3	1986	133	-4.737731207649125
569	3	f	1	2	1986	133	NA
573	2	m	2	1	1986	133	NA
576	6	f	1	1	1986	133	9.155612315710194
591	2	f	2	3	1986	133	5.4057038913342605
592	0	f	1	1	1986	133	3.90329518085598
596	4	f	1	3	1986	133	9.181849648508713
598	1	f	2	2	1986	133	2.0601332276155397
600	2	m	0	1	1986	133	-2.524299947162423
601	4	m	0	2	1986	133	0.12789485679054063
604	0	f	2	1	1986	133	3.9661646911203468
621	0	m	2	1	1986	133	-9.712883425547291
631	4	m	1	3	1986	133	-2.5123930088846933
639	0	m	0	1	1986	133	-7.73194016339261
649	0	m	0	2	1986	133	0.6440435290183826
653	0	f	1	2	1986	133	2.525333111098546
658	0	f	1	3	1986	133	7.031002541456335
661	1	f	0	1	1986	133	6.867722448966283
671	6	f	0	1	1986	133	NA
676	5	f	2	1	1986	133	7.644994402572968
692	1	m	1	2	1986	133	-3.5139012583098
701	4	f	2	2	1986	133	NA
712	1	m	1	3	1986	133	-4.816969916038751
723	5	f	0	3	1986	133	11.12562895773282
735	4	m	0	3	1986	133	NA
744	3	m	1	2	1986	133	-6.030672365461616
749	3	f	2	2	1986	133	2.602637869658344
751	4	f	1	2	1986	133	3.2023254023318
763	4	m	2	3	1986	133	-3.3688573538377025
764	3	f	2	2	1986	133	2.7080371806317856
771	0	m	1	2	1986	133	-4.418878560132863
776	3	m	0	1	1986	133	1.34677455659081
778	5	m	2	1	1986	133	-5.546577481683625
800	1	f	0	1	1986	133	1.4952048180453459
803	1	m	0	3	1986	133	-4.003794135730634
806	1	m	1	2	1986	133	-1.3410055467102437
820	1	m	1	1	1986	133	-4.212638558138612
826	2	m	1	3	1986	133	-7.049860782965239
838	4	m	2	1	1986	133	-4.020827375731984
851	2	f	2	2	1986	133	2.34887387158634
863	5	m	1	1	1986	133	-1.3858735718688897
875	1	m	2	1	1986	133	-7.468915123775068
877	3	f	2	3	1986	133	7.30064335367253
878	4	f	2	2	1986	133	4.553695590163697
880	4	f	0	3	1986	133	7.582855802078202
883	5	m	1	3	1986	133	-4.3210921785405345
886	1	f	0	1	1986	133	4.097206939395048
890	2	m	0	1	1986	133	-5.584972113331833
899	3	f	1	2	1986	133	5.383436902222008
3	3	f	2	1	1987	123	3.2231147307783563
4	3	m	0	3	1987	123	-0.8319839689912893
7	7	m	0	3	1987	123	-1.2695665780595267
19	0	f	1	3	1987	123	2.4507683726195086
34	3	m	1	3	1987	123	-3.527029260870996
42	1	m	0	1	1987	123	-4.866182215280761
48	4	m	0	2	1987	123	-4.121966993306926
49	5	m	2	1	1987	123	-1.367464598870995
54	1	m	0	1	1987	123	NA
56	6	m	1	1	1987	123	-1.093122816260122
59	7	f	1	3	1987	123	11.16370192603929
73	2	m	1	2	1987	123	-6.911925902317211
80	5	m	0	3	1987	123	-2.4302188745234976
103	1	f	2	3	1987	123	2.050536300387311
108	0	m	1	3	1987	123	-4.251386230176827
109	6	f	0	3	1987	123	NA
112	7	m	1	3	1987	123	-1.5400029128621022
114	2	m	2	3	1987	123	-8.096974392107622
122	2	f	0	2	1987	123	1.2981329136484145
131	7	f	1	2	1987	123	7.039740565077045
137	1	f	1	1	1987	123	3.1951588012033314
140	4	m	1	3	1987	123	-3.426112856872011
144	2	f	2	2	1987	123	7.184147975658082
145	6	m	2	2	1987	123	-1.2557778998444828
149	0	m	0	2	1987	123	-6.962621479281553
150	7	m	0	3	1987	123	-4.920620175414837
167	0	m	0	3	1987	123	-3.941207453673825
168	2	m	1	3	1987	123	-2.379019473948817
170	7	f	2	2	1987	123	5.9218482844763285
173	1	m	2	3	1987	123	-10.627238698286193
174	1	m	2	3	1987	123	-1.6942511908867897
175	6	m	0	1	1987	123	-1.995511198155903
186	2	m	0	2	1987	123	NA
187	2	m	0	1	1987	123	-3.2012428169540015
